a,b,c,d,e
2.59651959e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.35017894e-02,1.24899638e-02,1.25915086e-02,1.24188177e-02,1.35657496e-02
3.21134868e-03,3.10985487e-03,3.20355405e-03,3.12081863e-03,3.41549945e-03
8.04124216e-04,8.13024057e-04,7.96555799e-04,7.76744898e-04,8.87792465e-04
2.05905525e-04,2.11498253e-04,1.85827567e-04,2.13533405e-04,2.06443206e-04
5.17312594e-05,5.30025629e-05,4.67157467e-05,5.35554478e-05,5.17038465e-05
1.35479335e-05,1.28012201e-05,1.28681703e-05,1.18553064e-05,1.21931602e-05
3.33582597e-06,3.15742838e-06,3.16210556e-06,2.92519650e-06,3.01026091e-06
8.22085110e-07,7.78074568e-07,7.79290682e-07,7.20851097e-07,7.41805069e-07
1.91082629e-07,1.84939131e-07,1.90490178e-07,1.85908507e-07,2.03294998e-07
5.03608132e-08,4.77368650e-08,4.78105395e-08,4.41430042e-08,4.54717903e-08
1.18966810e-08,1.22100171e-08,1.07217376e-08,1.23421195e-08,1.19220748e-08
2.96322784e-09,2.98633524e-09,2.93688597e-09,2.85731954e-09,3.26070924e-09
7.51355239e-10,7.59174368e-10,7.44199337e-10,7.25783555e-10,8.29434306e-10
1.89394085e-10,1.83455076e-10,1.89068906e-10,1.84200816e-10,2.01601005e-10
4.71022279e-11,4.56575745e-11,4.70262563e-11,4.58112841e-11,5.01460755e-11
1.19000477e-11,1.22319377e-11,1.07407902e-11,1.23410546e-11,1.19330184e-11
2.99034413e-12,3.06380398e-12,2.70041959e-12,3.09580781e-12,2.98875903e-12
7.38660482e-13,7.13716780e-13,7.37832166e-13,7.17188820e-13,7.83826779e-13
1.84803056e-13,1.86858432e-13,1.83062165e-13,1.78515764e-13,2.04039676e-13
4.65925925e-14,4.51311355e-14,4.65125855e-14,4.53152172e-14,4.95955790e-14
1.17689772e-14,1.20973207e-14,1.06224910e-14,1.22050688e-14,1.18015891e-14
3.08716813e-15,2.91687847e-15,2.93232919e-15,2.70142958e-15,2.77838057e-15
7.16949814e-16,6.93940155e-16,7.14711256e-16,6.97572770e-16,7.62819585e-16
