a,b,c,d,e
0.259651959,0,0,0,0
0.0135017894,0.0128800282,0.0125709316,""""0.0131158773"""",0.0134390881
0.00321134855,0.00314806472,0.00333927129,0.00324270222,0.00336035364
0.000804124167,0.000822957372,0.000830032397,0.000807622622,0.00087324268
0.000205853634,0.000214047686,0.000193770829,0.000221905502,0.000203103787
5.16717591e-05,5.37"16627e-05,4.86390236e-05,5.56327141e-05,5.09309139e-05
1.35326009e-05,1.2973278e-05,1.33981621e-05,1.23152658e-05,1.20107452e-05
3.33643902e-06,3.19683477e-06,3.29158433e-06,3.04286482e-06,2.9606033e-06
8.22221637e-07,7.8782017e-07,8.1119174e-07,7.49818696e-07,7.29584485e-07
1.91114466e-07,1.87255338e-07,1.9828812e-07,1.93379449e-07,1.99945816e-07
5.03580289e-08,4.83181424e-08,4.98175545e-08,4.58941649e-08,4.47243416e-08
1.18986749e-08,1.23627935e-08,1.11607052e-08,1.28382887e-08,1.17255619e-08
2.95982505e-09,3.02660785e-09,3.05781223e-09,2.96806846e-09,3.21198934e-09
7.51179e-10,7.68301589e-10,7.76014253e-10,7.54257878e-10,8.1600765e-10
1.89345789e-10,1.85666593e-10,1.97148506e-10,1.91425542e-10,1.98340067e-10
4.71021e-11,4.62154932e-11,4.9002722e-11,4.76325854e-11,4.93240691e-11
1.19000495e-11,1.23814127e-11,1.11923413e-11,1.28315084e-11,1.17374027e-11
2.98698588e-12,3.10515871e-12,2.81169619e-12,3.2159195e-12,2.9441497e-12
7.37842404e-13,7.2332716e-13,7.68239042e-13,7.45032508e-13,7.72119131e-13
1.8480615e-13,1.89136074e-13,1.90759057e-13,1.8561449e-13,2.00692395e-13
4.65808253e-14,4.56751776e-14,4.8500761e-14,4.70918911e-14,4.87933194e-14
1.17689417e-14,1.22451411e-14,1.10689342e-14,1.26902993e-14,1.16081308e-14
3.08370074e-15,2.95625e-15,3.05316329e-15,2.80623921e-15,2.73691126e-15
7.17099099e-16,7.02617377e-16,7.43994619e-16,7.2565122e-16,7.50254033e-16
